id	comment_text	sentiment	comment_es
0000997932d777bf	Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27	0	Explicación ¿Por qué se revirtieron las ediciones realizadas bajo mi nombre de usuario Hardcore Metallica Fan? No estaban vandalismos, simplemente cierre sobre un poco de gas después de que yo voté en Nueva York Dolls FAC. Y por favor no retire la plantilla de la página de discusión ya estoy retirado now.89.205.38.27
000103f0d9cfb60f	D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11, 2016 (UTC)	0	D'aww! Que coincide con este color de fondo que estoy atascado con aparentemente. Gracias. (Talk) 21:51, 11 de Enero, 2016 (UTC)
000113f07ec002fd	Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.	0	Oye, estoy realmente no intentar editar la guerra. Es sólo que este individuo está eliminando constantemente información relevante y hablando a mí a través de las ediciones en lugar de mi página de discusión. Parece que se preocupan más por el formato de la información real.
0001b41b1c6bb37e	" More I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of ""types of accidents"" -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.  There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations#Transport "	0	" Más No puedo realizar alguna sugerencia sobre mejoras reales - Me preguntaba si las estadísticas de sección deben estar más adelante, o una subsección de "" tipos de accidentes "" -Creo que las referencias pueden necesitar poner en orden para que estén todos en la misma exacta dar formato a formato de fecha es decir, etc. puedo hacer eso más adelante, si nadie más lo hace primero - si tiene alguna preferencia para el formato de estilo en referencias o desea hacerlo usted mismo por favor hágamelo saber.  Parece que hay un retraso en los artículos de revisión, así que supongo que puede haber una demora hasta que un revisor aparece. Es que aparece en el formulario correspondiente por ejemplo Wikipedia: Good_article_nominations # Transporte "
0001d958c54c6e35	You, sir, are my hero. Any chance you remember what page that's on?	0	Usted señor, es mi héroe. Alguna posibilidad de que recuerde lo que la página de el?
00025465d4725e87	"  Congratulations from me as well, use the tools well.  · talk "	0	"  Felicitaciones de mí también, utilizar las herramientas bien. · hablar "
0002bcb3da6cb337	COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK	1	TRAGONA ANTES DE PISS EN TODO EN MI TRABAJO
00031b1e95af7921	Your vandalism to the Matt Shirvington article has been reverted. Please don't do it again, or you will be banned.	0	Su vandalismo al artículo de Matt Shirvington se ha revertido. Por favor, no hacerlo de nuevo, o se le prohibió.
00037261f536c51d	Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics? 93.161.107.169	0	Lo siento si la palabra 'sin sentido' era ofensivo para usted. De todos modos, no estoy con la intención de escribir nada en el artículo (wow que saltarían en mí por vandalismo), sólo estoy pidiendo que sea más enciclopédica lo que uno puede usar para la escuela como referencia. He estado en la página de la cría selectiva, pero es casi un trozo. Apunta a 'la cría de animales', que es un artículo corto desordenado que no le da ninguna información. Tiene que haber alguien por ahí con experiencia en la eugenesia? 93.161.107.169
00040093b2687caa	alignment on this subject and which are contrary to those of DuLithgow	0	alineación sobre este tema y que son contrarias a las de DuLithgow
